        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCN Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-07-25 11:38:29 ,          28.0   ,           1200.0   ,           0.0   ,               56.0   ,          1   ,                        718   ,                      111   ,         1.000   ,               67.0   ,                  7128   ,
2024-07-25 11:38:30 ,          25.0   ,           1200.0   ,           0.0   ,               56.0   ,          1   ,                        718   ,                      110   ,         1.018   ,               67.6   ,                  7127   ,
2024-07-25 11:38:31 ,           7.0   ,           1200.0   ,           0.0   ,               56.0   ,          1   ,                        718   ,                      110   ,         1.037   ,               68.6   ,                  7125   ,
2024-07-25 11:38:32 ,           2.0   ,           1200.0   ,           0.0   ,               56.0   ,          1   ,                        718   ,                      110   ,         1.025   ,               69.3   ,                  7134   ,
2024-07-25 11:38:33 ,           0.0   ,           1200.0   ,           0.0   ,               57.0   ,          1   ,                        718   ,                      110   ,         1.025   ,               68.5   ,                  7147   ,
2024-07-25 11:38:34 ,           0.0   ,           1200.0   ,           0.0   ,               57.0   ,         23   ,                        770   ,                      111   ,         1.037   ,               68.6   ,                  7186   ,
2024-07-25 11:38:35 ,          17.0   ,           1200.0   ,           0.0   ,               59.0   ,         28   ,                        772   ,                      111   ,         1.000   ,               67.6   ,                  7201   ,
2024-07-25 11:38:36 ,          26.0   ,           1200.0   ,           0.0   ,               59.0   ,         32   ,                        779   ,                      113   ,         0.987   ,               67.6   ,                  7269   ,
2024-07-25 11:38:37 ,         147.0   ,           1200.0   ,           0.0   ,               59.0   ,         27   ,                        800   ,                      139   ,         0.925   ,               66.4   ,                  7328   ,
2024-07-25 11:38:38 ,         184.0   ,           1200.0   ,           0.0   ,               59.0   ,         27   ,                        800   ,                      139   ,         0.906   ,               64.9   ,                  7327   ,
2024-07-25 11:38:39 ,         560.0   ,           1200.0   ,           0.0   ,               58.0   ,         27   ,                        800   ,                      139   ,         0.806   ,               64.0   ,                  7327   ,
2024-07-25 11:38:40 ,         307.0   ,           1200.0   ,           0.0   ,               58.0   ,         26   ,                        800   ,                      139   ,         1.000   ,               63.6   ,                  7326   ,
2024-07-25 11:38:41 ,         109.0   ,           1200.0   ,           0.0   ,               59.0   ,         27   ,                        800   ,                      139   ,         1.012   ,               63.5   ,                  7330   ,
2024-07-25 11:38:42 ,         172.0   ,           1200.0   ,           0.0   ,               58.0   ,         26   ,                        800   ,                      139   ,         0.875   ,               63.4   ,                  7330   ,
2024-07-25 11:38:43 ,          69.0   ,           1200.0   ,           0.0   ,               58.0   ,         26   ,                        800   ,                      139   ,         1.062   ,               63.3   ,                  7329   ,
2024-07-25 11:38:44 ,          52.0   ,           1200.0   ,           0.0   ,               57.0   ,         27   ,                        800   ,                      139   ,         0.906   ,               63.3   ,                  7330   ,
2024-07-25 11:38:45 ,          47.0   ,           1200.0   ,           0.0   ,               57.0   ,         26   ,                        800   ,                      139   ,         1.000   ,               63.3   ,                  7329   ,
2024-07-25 11:38:46 ,         519.0   ,           1200.0   ,           0.0   ,               58.0   ,         26   ,                        800   ,                      139   ,         0.906   ,               63.3   ,                  7327   ,
2024-07-25 11:38:47 ,         661.0   ,           1200.0   ,           0.0   ,               57.0   ,         27   ,                        800   ,                      139   ,         0.906   ,               63.0   ,                  7325   ,
2024-07-25 11:38:48 ,         231.0   ,           1200.0   ,           0.0   ,               58.0   ,         27   ,                        800   ,                      138   ,         1.018   ,               62.9   ,                  7327   ,
2024-07-25 11:38:49 ,         574.0   ,           1200.0   ,           0.0   ,               58.0   ,         26   ,                        800   ,                      138   ,         0.793   ,               62.8   ,                  7325   ,
2024-07-25 11:38:50 ,         312.0   ,           1200.0   ,           0.0   ,               58.0   ,         27   ,                        800   ,                      138   ,         1.056   ,               62.8   ,                  7326   ,
2024-07-25 11:38:51 ,         111.0   ,           1200.0   ,           0.0   ,               56.0   ,         26   ,                        800   ,                      138   ,         0.993   ,               62.6   ,                  7326   ,
2024-07-25 11:38:52 ,         173.0   ,           1200.0   ,           0.0   ,               56.0   ,         26   ,                        800   ,                      138   ,         0.900   ,               62.6   ,                  7325   ,
2024-07-25 11:38:53 ,         191.0   ,           1200.0   ,           0.0   ,               58.0   ,         26   ,                        800   ,                      138   ,         1.000   ,               62.6   ,                  7324   ,
2024-07-25 11:38:54 ,          74.0   ,           1200.0   ,           0.0   ,               57.0   ,         26   ,                        800   ,                      138   ,         1.000   ,               62.5   ,                  7326   ,
2024-07-25 11:38:55 ,         527.0   ,           1200.0   ,           0.0   ,               58.0   ,         26   ,                        800   ,                      138   ,         0.850   ,               62.4   ,                  7325   ,
2024-07-25 11:38:56 ,         189.0   ,           1200.0   ,           0.0   ,               57.0   ,         26   ,                        800   ,                      138   ,         0.993   ,               62.4   ,                  7324   ,
2024-07-25 11:38:57 ,         196.0   ,           1200.0   ,           0.0   ,               58.0   ,         26   ,                        800   ,                      138   ,         1.000   ,               62.6   ,                  7324   ,
2024-07-25 11:38:58 ,          76.0   ,           1200.0   ,           0.0   ,               56.0   ,         26   ,                        800   ,                      138   ,         1.012   ,               63.3   ,                  7182   ,
2024-07-25 11:38:59 ,          40.0   ,           1200.0   ,           0.0   ,               57.0   ,         25   ,                        800   ,                      138   ,         1.018   ,               62.9   ,                  7181   ,
2024-07-25 11:39:00 ,          29.0   ,           1200.0   ,           0.0   ,               58.0   ,         25   ,                        800   ,                      138   ,         1.062   ,               62.8   ,                  7188   ,
2024-07-25 11:39:01 ,         514.0   ,           1200.0   ,           0.0   ,               56.0   ,         25   ,                        800   ,                      138   ,         0.800   ,               62.6   ,                  7187   ,
2024-07-25 11:39:02 ,         171.0   ,           1200.0   ,           0.0   ,               57.0   ,         25   ,                        800   ,                      138   ,         1.012   ,               62.9   ,                  7115   ,
2024-07-25 11:39:03 ,          82.0   ,           1200.0   ,           0.0   ,               57.0   ,         24   ,                        800   ,                      138   ,         0.906   ,               62.5   ,                  7114   ,
2024-07-25 11:39:04 ,          42.0   ,           1200.0   ,           0.0   ,               57.0   ,         24   ,                        800   ,                      138   ,         1.056   ,               62.5   ,                  7118   ,
2024-07-25 11:39:05 ,         517.0   ,           1200.0   ,           0.0   ,               57.0   ,         25   ,                        800   ,                      138   ,         0.812   ,               62.8   ,                  7118   ,
2024-07-25 11:39:06 ,         186.0   ,           1200.0   ,           0.0   ,               58.0   ,         24   ,                        800   ,                      138   ,         0.912   ,               62.5   ,                  7122   ,
2024-07-25 11:39:07 ,          73.0   ,           1200.0   ,           0.0   ,               56.0   ,         24   ,                        800   ,                      138   ,         0.993   ,               62.4   ,                  7121   ,
2024-07-25 11:39:08 ,          53.0   ,           1200.0   ,           0.0   ,               58.0   ,         25   ,                        800   ,                      138   ,         0.931   ,               62.4   ,                  7122   ,
2024-07-25 11:39:09 ,          33.0   ,           1200.0   ,           0.0   ,               56.0   ,         25   ,                        800   ,                      138   ,         0.993   ,               62.3   ,                  7122   ,
2024-07-25 11:39:10 ,          41.0   ,           1200.0   ,           0.0   ,               56.0   ,         24   ,                        800   ,                      138   ,         0.912   ,               62.3   ,                  7121   ,
2024-07-25 11:39:11 ,          29.0   ,           1200.0   ,           0.0   ,               56.0   ,         33   ,                        791   ,                      138   ,         1.006   ,               62.4   ,                  7096   ,
2024-07-25 11:39:12 ,          26.0   ,           1200.0   ,           0.0   ,               56.0   ,         24   ,                        791   ,                      138   ,         0.912   ,               62.3   ,                  7095   ,
2024-07-25 11:39:13 ,          25.0   ,           1200.0   ,           0.0   ,               57.0   ,         24   ,                        791   ,                      138   ,         0.912   ,               62.3   ,                  7106   ,
2024-07-25 11:39:14 ,         147.0   ,           1200.0   ,           0.0   ,               57.0   ,         23   ,                        791   ,                      138   ,         1.081   ,               62.3   ,                  7106   ,
2024-07-25 11:39:15 ,          61.0   ,           1200.0   ,           0.0   ,               57.0   ,         23   ,                        791   ,                      138   ,         0.912   ,               62.3   ,                  7105   ,
2024-07-25 11:39:16 ,          35.0   ,           1200.0   ,           0.0   ,               57.0   ,         24   ,                        791   ,                      138   ,         0.912   ,               62.3   ,                  7105   ,
2024-07-25 11:39:17 ,          27.0   ,           1200.0   ,           0.0   ,               58.0   ,         24   ,                        791   ,                      138   ,         0.912   ,               62.0   ,                  7105   ,
2024-07-25 11:39:18 ,         148.0   ,           1200.0   ,           0.0   ,               56.0   ,         23   ,                        791   ,                      138   ,         0.912   ,               61.9   ,                  7105   ,
2024-07-25 11:39:19 ,          61.0   ,           1200.0   ,           0.0   ,               57.0   ,         24   ,                        791   ,                      138   ,         0.912   ,               61.9   ,                  7105   ,
2024-07-25 11:39:20 ,          35.0   ,           1200.0   ,           0.0   ,               58.0   ,         23   ,                        791   ,                      138   ,         0.912   ,               61.9   ,                  7105   ,
2024-07-25 11:39:21 ,         150.0   ,           1200.0   ,           0.0   ,               57.0   ,         24   ,                        791   ,                      138   ,         0.912   ,               61.9   ,                  7103   ,
2024-07-25 11:39:22 ,          62.0   ,           1200.0   ,           0.0   ,               58.0   ,         24   ,                        791   ,                      138   ,         0.912   ,               61.9   ,                  7105   ,
2024-07-25 11:39:23 ,          36.0   ,           1200.0   ,           0.0   ,               57.0   ,         24   ,                        791   ,                      138   ,         0.912   ,               61.9   ,                  7104   ,
2024-07-25 11:39:24 ,          28.0   ,           1200.0   ,           0.0   ,               57.0   ,         24   ,                        791   ,                      121   ,         0.912   ,               61.9   ,                  7103   ,
2024-07-25 11:39:25 ,          25.0   ,           1200.0   ,           0.0   ,               56.0   ,         23   ,                        791   ,                      121   ,         0.912   ,               61.9   ,                  7105   ,
2024-07-25 11:39:26 ,         147.0   ,           1200.0   ,           0.0   ,               57.0   ,         24   ,                        791   ,                      121   ,         0.912   ,               61.9   ,                  7104   ,
2024-07-25 11:39:27 ,          61.0   ,           1200.0   ,           0.0   ,               57.0   ,         23   ,                        791   ,                      121   ,         0.912   ,               61.9   ,                  7105   ,
2024-07-25 11:39:28 ,         158.0   ,           1200.0   ,           0.0   ,               58.0   ,         21   ,                        791   ,                      121   ,         0.912   ,               61.9   ,                  7103   ,
2024-07-25 11:39:29 ,          64.0   ,           1200.0   ,           0.0   ,               56.0   ,         21   ,                        791   ,                      121   ,         0.912   ,               62.0   ,                  7106   ,
2024-07-25 11:39:30 ,         159.0   ,           1200.0   ,           0.0   ,               56.0   ,         21   ,                        791   ,                      121   ,         0.912   ,               62.1   ,                  7106   ,
2024-07-25 11:39:31 ,          65.0   ,           1200.0   ,           0.0   ,               57.0   ,         21   ,                        791   ,                      121   ,         0.906   ,               62.1   ,                  7108   ,
